entry1	entry2	type
00030_53	00030_77	ECrel
00030_49	00030_48	ECrel
00030_48	00030_46	ECrel
00030_50	00030_46	ECrel
00030_50	00030_77	ECrel
00030_42	00030_46	ECrel
00030_42	00030_77	ECrel
00030_69	00030_46	maplink
00030_69	00030_77	maplink
00030_46	00030_77	ECrel
00030_77	00030_49	ECrel
00030_57	00030_97	ECrel
00030_97	00030_56	ECrel
00030_37	00030_97	ECrel
00030_58	00030_97	ECrel
00030_56	00030_70	maplink
00030_48	00030_70	maplink
00030_47	00030_70	maplink
00030_58	00030_69	maplink
00040_63	00040_93	ECrel
00040_93	00040_94	ECrel
00040_92	00040_94	ECrel
00040_70	00040_76	ECrel
00040_87	00040_88	ECrel
00040_63	00040_105	maplink
00040_63	00040_106	maplink
00040_105	00040_106	maplink
00040_94	00040_109	maplink
00040_92	00040_109	maplink
00040_92	00040_104	maplink
00040_85	00040_106	maplink
00040_88	00040_111	maplink
00040_70	00040_108	maplink
00040_91	00040_106	maplink
00040_110	00040_106	maplink
00040_110	00040_63	maplink
00040_110	00040_105	maplink
00040_110	00040_106	maplink
00040_110	00040_85	maplink
00040_174	00040_88	ECrel
00040_174	00040_111	maplink
00051_63	00051_64	ECrel
00051_64	00051_66	ECrel
00051_64	00051_79	ECrel
00051_64	00051_71	ECrel
00051_66	00051_79	ECrel
00051_66	00051_71	ECrel
00051_71	00051_79	ECrel
00051_81	00051_96	ECrel
00051_81	00051_114	ECrel
00051_81	00051_84	ECrel
00051_79	00051_81	ECrel
00051_84	00051_96	ECrel
00051_79	00051_96	ECrel
00051_84	00051_114	ECrel
00051_79	00051_114	ECrel
00051_79	00051_84	ECrel
00051_104	00051_114	ECrel
00051_96	00051_104	ECrel
00051_84	00051_85	ECrel
00051_76	00051_84	ECrel
00051_76	00051_85	ECrel
00051_85	00051_92	ECrel
00051_91	00051_92	ECrel
00051_90	00051_91	ECrel
00051_88	00051_90	ECrel
00051_88	00051_130	ECrel
00051_101	00051_102	ECrel
00051_101	00051_104	ECrel
00051_66	00051_102	ECrel
00051_91	00051_185	maplink
00051_185	00051_92	maplink
00051_116	00051_66	maplink
00051_116	00051_64	maplink
00051_116	00051_71	maplink
00051_116	00051_79	maplink
00051_116	00051_76	maplink
00051_116	00051_130	maplink
00051_104	00051_106	maplink
00051_101	00051_106	maplink
00051_81	00051_105	maplink
00051_79	00051_105	maplink
00051_84	00051_105	maplink
00051_114	00051_105	maplink
00051_96	00051_105	maplink
00051_61	00051_63	maplink
00052_72	00052_75	ECrel
00052_73	00052_75	ECrel
00052_74	00052_75	ECrel
00052_75	00052_99	ECrel
00052_73	00052_76	ECrel
00052_74	00052_76	ECrel
00052_76	00052_99	ECrel
00052_77	00052_80	ECrel
00052_79	00052_80	ECrel
00052_80	00052_82	ECrel
00052_80	00052_82	ECrel
00052_79	00052_82	ECrel
00052_79	00052_82	ECrel
00052_55	00052_65	ECrel
